Item #,Warehouse,Category,Manufacturer,Model,Grade,Capacity,Carrier,Color,Lock Status,Model Number,Parts Message,Increment Size,Quantity Available,List Price,Transaction Status,Transaction Quantity,Transaction Price,Expires,New Offer Quantity,New Offer Price
29405,New York,PHONES,Apple,iPhone 12 Mini,A2-Stock,64GB,GSM Unlocked,Black,GSM Unlocked,A2176,,1,1,165,,,,,,
29409,New York,PHONES,Apple,iPhone 12 Mini,A2-Stock,64GB,GSM Unlocked,Red,GSM Unlocked,A2176,,1,1,165,,,,,,
29297,New York,PHONES,Apple,iPhone 12 Mini,A2-Stock,64GB,GSM Unlocked,Blue,GSM Unlocked,A2176,,1,1,165,,,,,,
34516,New York,PHONES,Apple,iPhone 12 Mini,A2-Stock,128GB,GSM Unlocked,Red,GSM Unlocked,A2398,,1,2,185,,,,,,
31867,New York,PHONES,Apple,iPhone 12 Mini,A2-Stock,128GB,GSM Unlocked,Green,GSM Unlocked,A2176,,1,1,185,,,,,,
29776,New York,PHONES,Apple,iPhone 12 Mini,A2-Stock,128GB,GSM Unlocked,Blue,GSM Unlocked,A2176,,1,1,185,,,,,,
30416,New York,PHONES,Apple,iPhone 12 Mini,A2-Stock,128GB,GSM Unlocked,Red,GSM Unlocked,A2176,,1,2,185,,,,,,
30750,New York,PHONES,Apple,iPhone 12 Mini,B1-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2176,,1,1,175,,,,,,
30375,New York,PHONES,Apple,iPhone 12 Mini,KFCG,128GB,GSM Unlocked,Black,GSM Unlocked,A2176,,1,1,120,,,,,,
30776,New York,PHONES,Apple,iPhone 12 Pro,B1-Stock,128GB,GSM Unlocked,Gold,GSM Unlocked,A2341,,1,1,280,,,,,,
29536,New York,PHONES,Apple,iPhone 12 Pro,B2-Stock,128GB,GSM Unlocked,Gold,GSM Unlocked,A2341,,1,2,260,,,,,,
30105,New York,PHONES,Apple,iPhone 12 Pro,PID,128GB,GSM Unlocked,Mixed,GSM Unlocked,A2341,,1,2,175,,,,,,
64904,New York,PHONES,Apple,iPhone 12 Pro,PLB,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2341,,1,1,195,,,,,,
29290RC2,New York,PHONES,Apple,iPhone 12 Pro,RC2-Stock,256GB,GSM Unlocked,Graphite,GSM Unlocked,A2341,,1,1,275,,,,,,
30809,New York,PHONES,Apple,iPhone 12 Pro Max,B1-Stock,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,100+,345,,,,,,
29304,New York,PHONES,Apple,iPhone 12 Pro Max,B2-Stock,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,100+,330,,,,,,
30038,New York,PHONES,Apple,iPhone 12 Pro Max,C1-Stock,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,100+,280,,,,,,
29533,New York,PHONES,Apple,iPhone 12 Pro Max,KFLB,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,1,270,,,,,,
64830,New York,PHONES,Apple,iPhone 12 Pro Max,PCG,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,7,245,,,,,,
60392G,Battery Guarantee,PHONES,Apple,iPhone 12 Pro Max,PGL,128GB,GSM Unlocked,Graphite,GSM Unlocked,A2342,,1,1,295,,,,,,
